municipi,Estancia Minima
Campllong,1.0
Llambilles,1.0
Sant Andreu Salou,0.5
Massanes,1.0
Sant Feliu de Buixalleu,1.0
Aiguaviva,1.0
Sant Martí de Llémena,1.0
Brunyola i Sant Martí Sapresa,1.0
Osor,1.0
Susqueda,0.5
"Sant Miquel de
Campmajor",0.5
Mieres,1.0
Sant Aniol de Finestres,1.0
Canet d'Adri,1.0
Camós,1.0
Palau-sator,1.0
Regencós,1.0
Vall-llobrega,1.0
"Cruïlles, Monells i Sant
Sadurní de l'Heura",1.0
Forallac,1.0
Parlavà,1.0
Pera,1.0
Rupià,1.0
Juià,1.0
Madremanya,1.0
Sant Martí Vell,1.0
Corçà,1.0
Foixà,1.0
Fontanilles,0.5
Gualta,1.0
Serra de Daró,0.5
Ullà,1.0
Colomers,0.5
Garrigoles,0.5
Tallada d'Empordà,1.0
Vilopriu,0.5
Cervià de Ter,1.0
Palol de Revardit,1.0
Ventalló,1.0
Viladamat,1.0
Albons,1.0
Bellcaire d'Empordà,1.0
Sant Miquel de Fluvià,1.0
Torroella de Fluvià,1.0
Vilaür,0.5
Vilamacolum,1.0
Vilademuls,1.0
Maià de Montcal,1.0
Sant Ferriol,1.0
Crespià,1.0
Esponellà,1.0
Fontcoberta,1.0
Argelaguer,1.0
Riudaura,1.0
Sant Jaume de Llierca,1.0
Vall de Bianya,1.0
Albanyà,0.5
Montagut i Oix,1.0
Sales de Llierca,0.5
Tortellà,1.0
Borrassà,1.0
Siurana,0.5
Garrigàs,1.0
Navata,1.0
Far d'Empordà,1.0
Fortià,1.0
Riumors,0.5
Santa Llogaia d'Àlguema,1.0
Vila-sacra,1.0
Cabanes,1.0
Pau,1.0
Pedret i Marzà,0.5
Selva de Mar,0.5
Avinyonet de Puigventós,1.0
Cabanelles,1.0
Lladó,1.0
Vilanant,1.0
Boadella i les Escaules,1.0
Cistella,1.0
Sant Llorenç de la Muga,1.0
Terrades,1.0
Masarac,1.0
Mollet de Peralada,0.5
Capmany,1.0
Pont de Molins,1.0
Espolla,1.0
Rabós,0.5
Vilamaniscle,0.5
Vajol,0.5
Cantallops,1.0
Ordis,1.0
Palau de Santa Eulàlia,0.5
Pontós,1.0
Vilafant,1.0
Vilamalla,1.0
Biure,0.5
Beuda,0.5
Jafre,1.0
Torrent,0.5
Ultramort,0.5
Ullastret,1.0
Sant Joan de Mollet,1.0
Viladasens,0.5
Fogars de la Selva,1.0
Girona,0.0
