municipi,latitude,longitude,BLOC
Campllong,41.8948831,2.8309625,4
Llambilles,41.9215695,2.851079,4
Sant Andreu Salou,41.8732667,2.8254449,4
Massanes,41.7654696,2.6528719,4
Sant Feliu de Buixalleu,41.7913017,2.5861463,4
Aiguaviva,41.9382389,2.7624155,4
Sant Martí de Llémena,42.0364324,2.6475329,4
Brunyola i Sant Martí Sapresa,41.9049114,2.6839536,4
Osor,41.9451025,2.5569285,4
Susqueda,41.9983697,2.513135092487725,4
"Sant Miquel de
Campmajor",42.135899,2.6790781,4
Mieres,42.1244124,2.6401122,2
Sant Aniol de Finestres,42.06944315,2.6084554280821344,2
Canet d'Adri,42.0332009,2.7377666,4
Camós,42.0938831,2.7674256,4
Palau-sator,41.9897891,3.1103856,3
Regencós,41.9523563,3.1687852,3
Vall-llobrega,41.8801015,3.1268338,3
"Cruïlles, Monells i Sant
Sadurní de l'Heura",41.9558251,3.0114014,3
Forallac,41.940581300000005,3.081724582560697,3
Parlavà,42.022591,3.0304741,3
Pera,42.283914,2.4938967,3
Rupià,42.0207872,3.0105902,3
Juià,42.0172969,2.9067184,4
Madremanya,41.9900799,2.9568764,4
Sant Martí Vell,42.0196093,2.9311901,4
Corçà,41.9893624,3.0170799,3
Foixà,42.0388268,2.9973628,3
Fontanilles,42.0111362,3.1065584,3
Gualta,42.029638,3.1037954,3
Serra de Daró,42.028087,3.0728658,3
Ullà,42.0500542,3.1073899,3
Colomers,42.0841561,2.9870811,3
Garrigoles,42.1071682,3.030074,3
Tallada d'Empordà,42.0798863,3.0555614,3
Vilopriu,42.1043198,2.9918548,3
Cervià de Ter,42.0676956,2.9122136,4
Palol de Revardit,42.0694953,2.7958985,4
Ventalló,42.1491351,3.0268953,3
Viladamat,42.1327669,3.0753648,3
Albons,42.1058271,3.0849746,3
Bellcaire d'Empordà,42.0810857,3.0944347,3
Sant Miquel de Fluvià,42.1732143,2.9904591,1
Torroella de Fluvià,42.174492,3.0402489,1
Vilaür,42.1437984,2.9550356,1
Vilamacolum,42.1965528,3.0571146,1
Vilademuls,42.138644,2.8879149,4
Maià de Montcal,42.2221769,2.7431144,2
Sant Ferriol,42.186857700000004,2.678302787348615,2
Crespià,42.1877796,2.7982926,4
Esponellà,42.1773757,2.7955223,4
Fontcoberta,42.1425379,2.7897817,4
Argelaguer,42.2145207,2.6414922,2
Riudaura,42.1887348,2.4093804,2
Sant Jaume de Llierca,42.2119833,2.6074259,2
Vall de Bianya,42.24152075,2.4326305390037266,2
Albanyà,42.30495675,2.7201116074286524,2
Montagut i Oix,42.2309257,2.5967415,2
Sales de Llierca,42.2358533,2.6499657,2
Tortellà,42.233331,2.630869,2
Borrassà,42.2224982,2.9268828,1
Siurana,42.2095097,2.9940216,1
Garrigàs,42.1929222,2.9539294,1
Navata,42.2248425,2.8584815,2
Far d'Empordà,42.2511773,2.9950531,1
Fortià,42.2424345,3.0404198,1
Riumors,42.2269331,3.0420591,1
Santa Llogaia d'Àlguema,42.2333519,2.9523456,1
Vila-sacra,42.2668061,3.0170438,1
Cabanes,42.3087348,2.9764243,1
Pau,42.3161009,3.1161931,1
Pedret i Marzà,42.3078129,3.0706399140638307,1
Selva de Mar,41.4079859,2.2091455,1
Avinyonet de Puigventós,42.2499757,2.9145442,1
Cabanelles,42.2302177,2.8187019,2
Lladó,42.2478898,2.8120781,2
Vilanant,42.2544997,2.8897248,2
Boadella i les Escaules,42.3324603,2.8583208,2
Cistella,42.268711,2.8472717,2
Sant Llorenç de la Muga,42.3199618,2.7888647,2
Terrades,42.3106341,2.8381619,2
Masarac,42.3509939,2.9723618,1
Mollet de Peralada,42.3595501,2.9999085,1
Capmany,42.3732813,2.9206405,2
Pont de Molins,42.3148493,2.9304359,2
Espolla,42.3893146,2.9994355,1
Rabós,42.3787458,3.0283472,1
Vilamaniscle,42.3743918,3.067464,1
Vajol,42.4039078,2.800086,2
Cantallops,42.4235685,2.9248575,2
Ordis,42.2185591,2.9072143,1
Palau de Santa Eulàlia,42.1734468,2.9646635,1
Pontós,42.1858949,2.9172363,1
Vilafant,42.2515266,2.9418008,1
Vilamalla,42.2165982,2.9708293,1
Biure,42.3380996,2.8949823,2
Beuda,42.2372601,2.7097379,2
Jafre,42.0726347,3.0107448,3
Torrent,41.9515047,3.1267566,3
Ultramort,42.037127,3.0349373,3
Ullastret,42.0008975,3.0689759,3
Sant Joan de Mollet,42.0442275,2.941985,4
Viladasens,42.0951146,2.9294718,4
Fogars de la Selva,41.7342133,2.6728108,4
Girona, 41.9793006, 2.8199439,1
