municipi,Estancia Minima
Calonge de Segarra,0.5
Castellfollit de Riubregós,0.5
Prats de Rei,1.0
Pujalt,0.5
Sant Pere Sallavinera,0.5
Sant Martí Sesgueioles,1.0
Argençola,0.5
Copons,1.0
Jorba,1.0
Montmaneu,0.5
Rubió,0.5
Veciana,0.5
Bellprat,0.5
El Bruc,1.0
Castellolí,1.0
Orpí,0.5
Santa Maria de Miralles,0.5
Cabrera d'Anoia,1.0
Torre de Claramunt,1.0
Vallbona d'Anoia,1.0
La Llacuna,1.0
Conesa,0.5
Llorac,0.5
Passanant i Belltall,0.5
Piles,0.5
Savallà del Comtat,0.5
Vallfogona de Riucorb,0.5
Forès,0.5
Rocafort de Queralt,0.5
Carme,1.0
Mediona,1.0
Font-rubí,1.0
Pontons,1.0
Torrelles de Foix,1.0
Les Cabanyes,1.0
Pacs del Penedès,1.0
Sant Cugat Sesgarrigues,1.0
Santa Fe del Penedès,1.0
Vilobí del Penedès,1.0
Castellet i la Gornal,1.0
Albinyana,1.0
Bonastre,1.0
Santa Oliva,1.0
Olivella,1.0
Olesa de Bonesvalls,1.0
Puigdàlber,1.0
Sant Llorenç d'Hortons,1.0
Subirats,1.0
Torrelavit,1.0
Masllorenç,1.0
Montmell,1.0
Salomó,1.0
Vespella de Gaià,1.0
Blancafort,1.0
Pira,1.0
Senan,0.5
Aiguamúrcia,1.0
Cabra del Camp,1.0
Querol,1.0
Pontils,0.5
Figuerola del Camp,1.0
Montferri,1.0
Rodonyà,1.0
Vallclara,0.5
Vilanova de Prades,0.5
Mont-ral,0.5
La Riba,1.0
Vilaverd,1.0
Garidells,0.5
Masó,1.0
El Milà,0.5
Vallmoll,1.0
Alió,1.0
Bràfim,1.0
Puigpelat,1.0
Vilabella,1.0
Nulles,1.0
Rourell,1.0
Argentera,0.5
Botarell,1.0
Colldejou,0.5
Pratdip,1.0
Riudecanyes,1.0
Vilanova d'Escornalbou,1.0
Aleixar,1.0
Alforja,1.0
Duesaigües,0.5
Maspujols,1.0
Riudecols,1.0
Arbolí,0.5
Capafonts,0.5
La Febró,0.5
Vilaplana,1.0
Albiol,1.0
Almoster,1.0
Perafort,1.0
Pobla de Mafumet,1.0
